,Unnamed: 0,Unnamed: 0.1,world_rank,institution,country,national_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,broad_impact,patents,score,year,institution_alt,twitter_handle,total,positive,negative,university,happiness_ranking
149,149,149,150,McMaster University,Canada,6,222,268,163,127,156,101,87.0,222,48.74,2015,,McMasterU,58,53,5,McMaster University,0.913793103448276
228,228,228,229,Laval University,Canada,11,292,273,218,207,270,182,200.0,140,46.95,2015,,universitelaval,66,60,6,Laval University,0.9090909090909092
32,32,32,33,University of Illinois at Urbana–Champaign,USA,24,33,75,21,40,48,42,74.0,65,59.94,2015,Illinois At Urbana–Champaign University,Illinois_Alma,79,71,8,University of Illinois at Urbana–Champaign,0.8987341772151899
823,823,823,824,University of Brighton,United Kingdom,61,367,567,218,854,829,812,754.0,766,44.21,2015,Brighton University,uniofbrighton,56,50,6,University of Brighton,0.8928571428571429
398,398,398,399,University of Nebraska Medical Center,USA,136,367,567,218,463,399,368,344.0,253,45.16,2015,Nebraska Medical Center University,unmc,55,49,6,University of Nebraska Medical Center,0.8909090909090909
121,121,121,122,Aarhus University,Denmark,2,310,165,106,91,81,101,95.0,154,49.65,2015,,AarhusUni,76,67,9,Aarhus University,0.8815789473684209
447,447,447,448,Indian Institute of Science,India,3,367,332,218,315,537,511,447.0,239,44.96,2015,,iiscbangalore,76,67,9,Indian Institute of Science,0.8815789473684209
41,41,41,42,McGill University,Canada,2,34,37,75,33,53,44,34.0,132,56.49,2015,,mcgillu,61,53,8,McGill University,0.8688524590163934
129,129,129,130,University of New South Wales,Australia,4,177,70,218,90,177,101,164.0,157,49.33,2015,New South Wales University,UNSW,124,107,17,University of New South Wales,0.8629032258064516
239,239,239,240,University of Leicester,United Kingdom,19,367,567,218,258,139,197,170.0,385,46.72,2015,Leicester University,uniofleicester,63,54,9,University of Leicester,0.8571428571428571
905,905,905,906,Oakland University,USA,226,367,567,218,888,810,812,850.0,871,44.13,2015,,oaklandu,81,69,12,Oakland University,0.8518518518518519
93,93,93,94,King's College London,United Kingdom,7,27,190,114,76,116,101,74.0,188,51.31,2015,,KingsCollegeLon,94,80,14,King's College London,0.851063829787234
52,52,52,53,"University of California, Davis",USA,36,54,227,59,29,33,35,52.0,62,54.85,2015,"California, Davis University",ucdavis,180,153,27,"University of California, Davis",0.85
92,92,92,93,University of Melbourne,Australia,2,141,113,218,42,68,53,71.0,223,51.34,2015,Melbourne University,unimelb,79,67,12,University of Melbourne,0.8481012658227848
87,87,87,88,University of Sydney,Australia,1,105,198,166,45,103,46,84.0,75,51.61,2015,Sydney University,Sydney_Uni,105,89,16,University of Sydney,0.8476190476190476
